iter	RMSE
0	0.9525490606
1	0.9292173529
2	0.9067107108
3	0.8853228262
4	0.8648406599
5	0.8449726876
6	0.8263303417
7	0.8084568166
8	0.7910142867
9	0.7744416498
10	0.7586580152
11	0.743665041
12	0.7288612527
13	0.7150668674
14	0.7017554609
15	0.6889407355
16	0.6766825992
17	0.6646716456
18	0.6533602106
19	0.6426680145
20	0.6323760543
21	0.6226718235
22	0.6134358182
23	0.604716169
24	0.5957660728
25	0.5876702927
26	0.5797607786
27	0.5723118519
28	0.5652165256
29	0.5585148379
30	0.5518121537
31	0.5455222424
32	0.53962731
33	0.5336572151
34	0.5276282723
35	0.5220868403
36	0.5171366173
37	0.5122631313
38	0.5077023553
39	0.503206123
40	0.4982741633
41	0.4943926554
42	0.4907033566
43	0.4866858206
44	0.4832377613
45	0.479644007
46	0.4761052646
47	0.4728295021
48	0.4692983469
49	0.4664061423
50	0.4630537843
51	0.4597196807
52	0.4569710295
53	0.4545143473
54	0.4517809024
55	0.4493183907
56	0.4470281328
57	0.4447540059
58	0.442657237
59	0.4405694986
60	0.4384072088
61	0.436461528
62	0.4347067876
63	0.4326033761
64	0.4309337892
65	0.42921079
66	0.4272754865
67	0.4258175111
68	0.4243558043
69	0.42298254
70	0.4217442327
71	0.4203839458
72	0.4190050049
73	0.4172282684
74	0.4158256162
75	0.4145201121
76	0.4133740123
77	0.412147994
78	0.4108805357
79	0.4097207619
80	0.4086780971
81	0.4077341968
82	0.4065982956
83	0.4055736391
84	0.4046844482
85	0.4036523764
86	0.4028378158
87	0.4017783991
88	0.4009891805
89	0.3999737081
90	0.3990009837
91	0.3980635759
92	0.3971544434
93	0.3963678666
94	0.3955112269
95	0.3947178639
96	0.3939708449
97	0.3930812309
98	0.3923415998
99	0.3915855438
100	0.3910717059
101	0.390553393
102	0.3899529176
103	0.3891280685
104	0.388554633
105	0.387823093
106	0.3870908695
107	0.3865884662
108	0.3861275697
109	0.3857274912
110	0.3850721303
111	0.3845834262
112	0.3839486866
113	0.3834656595
114	0.3830288044
115	0.382473963
116	0.3820742242
117	0.381557648
118	0.3811065169
119	0.3805676581
120	0.3799373598
121	0.3793984561
122	0.378945604
123	0.3785603513
124	0.3782522016
125	0.3777085783
126	0.3770786835
127	0.376654562
128	0.3763073754
129	0.3758650841
130	0.3754301473
131	0.3751182476
132	0.3747415832
133	0.3744041914
134	0.3740393674
135	0.3736185042
136	0.3732829657
137	0.3727794509
138	0.3725173525
139	0.3722639083
140	0.3720156078
141	0.371805679
142	0.3714919852
143	0.3710769404
144	0.3707240713
145	0.3704939588
146	0.3701298314
147	0.369702991
148	0.3693512567
149	0.3689253552
150	0.3686068879
151	0.3683447455
152	0.3679667845
153	0.3676551516
154	0.3674071515
155	0.3671279546
156	0.3666295537
157	0.3663198426
158	0.3659473715
159	0.3655710837
160	0.3653377168
161	0.3646563068
162	0.3643905261
163	0.3641263308
164	0.3638063567
165	0.3634941512
166	0.3632071332
167	0.362844952
168	0.3625664339
169	0.3622577341
170	0.3620334789
171	0.3617169783
172	0.3614409591
173	0.3612054116
174	0.3609588695
175	0.3607581729
176	0.3605402501
177	0.3602998025
178	0.3600103415
179	0.3596699536
180	0.3594390975
181	0.3592277408
182	0.3590425518
183	0.3587678508
184	0.3585796873
185	0.358307208
186	0.35805157
187	0.3578107509
188	0.3575994841
189	0.3574048337
190	0.3572449393
191	0.3570336965
192	0.356795066
193	0.3566100368
194	0.3564259583
195	0.3562501598
196	0.3560881405
197	0.3558236853
198	0.3555027681
199	0.3552990758
200	0.3550877295
201	0.3547872582
202	0.354539079
203	0.3543218152
204	0.3541407563
205	0.353925166
206	0.3537213615
207	0.3535227636
208	0.3533463149
209	0.353151734
210	0.3526986959
211	0.3525375642
212	0.3524247808
213	0.352271021
214	0.3520550182
215	0.3515410197
216	0.3512539912
217	0.3510711368
218	0.351000954
219	0.3508985832
220	0.3506075841
221	0.350432117
222	0.3502811683
223	0.3500496155
224	0.3497349683
225	0.3495146062
226	0.3493135515
227	0.3490673471
228	0.3487873342
229	0.3485896023
230	0.3481524517
231	0.3479973865
232	0.3477875149
233	0.3476825399
234	0.3474507841
235	0.3472571747
236	0.3471336591
237	0.3469882187
238	0.3468564418
239	0.3466735702
240	0.3465191395
241	0.3460030874
242	0.3458126762
243	0.3455999632
244	0.3453935265
245	0.3452139546
246	0.3450451787
247	0.3448823751
248	0.3444680388
249	0.3442642017
250	0.3440639284
251	0.3439613298
252	0.3438375328
253	0.3437263436
254	0.3436134524
255	0.3434104196
256	0.3433438942
257	0.3431958738
258	0.3430816589
259	0.3428705736
260	0.3426764302
261	0.3424831489
262	0.3423290838
263	0.3421741385
264	0.3420880468
265	0.3418696601
266	0.3417548337
267	0.3413636651
268	0.3412317362
269	0.3411153043
270	0.3408224692
271	0.3406866094
272	0.3405914236
273	0.3404082923
274	0.3402099917
275	0.3401193555
276	0.3399027645
277	0.3396963722
278	0.3396450307
279	0.3394446359
280	0.3392424286
281	0.3391159281
282	0.338966674
283	0.3387928644
284	0.3386447515
285	0.338522824
286	0.3383786637
287	0.3382222228
288	0.3381224889
289	0.3379478302
290	0.3378455395
291	0.337796074
292	0.3376274408
293	0.3374755763
294	0.3373787092
295	0.3372453406
296	0.337070633
297	0.3369493702
298	0.3368589663
299	0.336718018
300	0.3365518673
301	0.3361049615
302	0.335944309
303	0.3357882848
304	0.335640777
305	0.3355410458
306	0.3353648085
307	0.3352283914
308	0.3351080009
309	0.3349682364
310	0.3348306668
311	0.3346933608
312	0.334420142
313	0.3343293062
314	0.3341838202
315	0.3340235229
316	0.333878916
317	0.3337418293
318	0.3335869521
319	0.3334321426
320	0.3333202274
321	0.3332455909
322	0.3331418762
323	0.3330286929
324	0.3328828087
325	0.3328003634
326	0.3326852182
327	0.3325645214
328	0.3324046606
329	0.3320452205
330	0.331996389
331	0.331825059
332	0.331719652
333	0.3315568226
334	0.3314032552
335	0.3313219793
336	0.3312494331
337	0.3311192734
338	0.3310128546
339	0.3309172528
340	0.3307894821
341	0.330688688
342	0.3303055776
343	0.3300288029
344	0.3298876567
345	0.3297346304
346	0.3296040588
347	0.329461437
348	0.32938693
349	0.3290853263
350	0.3289913333
351	0.3289288437
352	0.3288463343
353	0.3286094017
354	0.3284988185
355	0.3283699434
356	0.3282473224
357	0.3281398618
358	0.3280338744
359	0.3279166234
360	0.3278417698
361	0.3277343875
362	0.3276119289
363	0.3274715251
364	0.3273738615
365	0.327234887
366	0.3271673703
367	0.3270682617
368	0.3269781593
369	0.3268282074
370	0.3267269597
371	0.3266207807
372	0.3264839926
373	0.3263672087
374	0.3262580998
375	0.3261603764
376	0.3260197032
377	0.3259154596
378	0.3257677336
379	0.3257026652
380	0.3255900234
381	0.3254441126
382	0.3250783623
383	0.3250031385
384	0.3248999549
385	0.3248071346
386	0.3246890705
387	0.3245572777
388	0.3244228999
389	0.3242893222
390	0.3241806692
391	0.3240913174
392	0.3239744158
393	0.3238805633
394	0.323791774
395	0.3236695568
396	0.3235395027
397	0.3234449228
398	0.3233496502
399	0.3232355311
400	0.3229064938
401	0.3225464247
402	0.3221971995
403	0.3220873342
404	0.3219763594
405	0.3218787023
406	0.3218224179
407	0.3217157834
408	0.3216581474
409	0.3215534884
410	0.321469604
411	0.321366386
412	0.3210899283
413	0.3209925691
414	0.3209252063
415	0.3208339111
416	0.3207292217
417	0.3206200411
418	0.3205365916
419	0.3204661062
420	0.320399528
421	0.3202908093
422	0.320222495
423	0.3201086189
424	0.3200032758
425	0.3199402878
426	0.3198704483
427	0.3197873953
428	0.3196744621
429	0.3195789122
430	0.3193221741
431	0.319242867
432	0.3191422583
433	0.3190756532
434	0.318994897
435	0.3188957708
436	0.3188235419
437	0.3187471327
438	0.3186516564
439	0.3185434003
440	0.3184153637
441	0.3182959569
442	0.3180617147
443	0.3179989547
444	0.3179141776
445	0.3178206677
446	0.3177506946
447	0.3175231167
448	0.3174434942
449	0.3173539595
450	0.3172475229
451	0.3171912339
452	0.3171259372
453	0.3170114965
454	0.3169484047
455	0.3167111269
456	0.3166412572
457	0.3165533419
458	0.3164717471
459	0.3163872582
460	0.316315567
461	0.3162192962
462	0.316123949
463	0.3160061316
464	0.3159323785
465	0.3157990553
466	0.3157061336
467	0.3156389476
468	0.3155289006
469	0.3154591904
470	0.315364562
471	0.3151044813
472	0.3150144969
473	0.3149405503
474	0.314866388
475	0.3148053455
476	0.3147244922
477	0.3146632223
478	0.3145963352
479	0.3143346887
480	0.3142421374
481	0.3141905999
482	0.3140926769
483	0.3140405698
484	0.3139611379
485	0.3138695877
486	0.3137780405
487	0.3135656627
488	0.3134575932
489	0.3134096012
490	0.3133074203
491	0.3131958739
492	0.3131216422
493	0.313030118
494	0.3129540381
495	0.3129350444
496	0.3128699746
497	0.3128062532
498	0.3127265202
499	0.3126790234
500	0.3125401669
501	0.3124461802
502	0.3123893946
503	0.3123393839
504	0.3120943389
505	0.3120368201
506	0.3119526413
507	0.3118788486
508	0.3117726276
509	0.3116928896
510	0.3115913656
511	0.3115303829
512	0.3114652743
513	0.3113922457
514	0.3113143617
515	0.3112256058
516	0.3111442917
517	0.3110799061
518	0.3110400194
519	0.3109676289
