iter	Passed	Remaining
0	8	7155
1	17	6929
2	24	6629
3	32	6428
4	39	6339
5	47	6262
6	55	6246
7	62	6203
8	69	6143
9	78	6170
10	85	6167
11	93	6171
12	101	6131
13	109	6137
14	116	6110
15	124	6089
16	132	6099
17	140	6101
18	148	6097
19	156	6109
20	165	6122
21	173	6132
22	181	6137
23	189	6128
24	197	6120
25	205	6120
26	213	6102
27	221	6096
28	229	6093
29	236	6077
30	244	6059
31	252	6048
32	259	6030
33	266	6014
34	274	6000
35	281	5983
36	289	5964
37	296	5950
38	303	5928
39	311	5917
40	318	5903
41	326	5898
42	334	5885
43	342	5891
44	350	5878
45	358	5876
46	366	5868
47	373	5854
48	381	5844
49	389	5837
50	396	5830
51	405	5826
52	413	5820
53	421	5819
54	429	5813
55	436	5803
56	444	5800
57	452	5790
58	460	5784
59	469	5787
60	477	5781
61	485	5776
62	493	5775
63	501	5767
64	509	5759
65	517	5751
66	525	5749
67	532	5737
68	540	5726
69	548	5718
70	556	5711
71	564	5711
72	572	5702
73	580	5698
74	588	5692
75	596	5678
76	603	5670
77	611	5660
78	619	5649
79	626	5638
80	634	5630
81	641	5620
82	649	5612
83	657	5601
84	664	5587
85	671	5577
86	679	5569
87	687	5561
88	694	5550
89	702	5541
90	709	5531
91	717	5519
92	725	5514
93	732	5505
94	740	5496
95	748	5488
96	755	5477
97	763	5470
98	771	5461
99	778	5451
100	786	5442
101	793	5432
102	801	5423
103	808	5413
104	816	5404
105	824	5396
106	832	5392
107	840	5383
108	848	5376
109	855	5365
110	863	5360
111	871	5353
112	879	5346
113	887	5337
114	894	5328
115	902	5319
116	909	5310
117	917	5300
118	924	5292
119	932	5283
120	940	5274
121	947	5266
122	955	5257
123	962	5249
124	970	5240
125	979	5236
126	987	5230
127	994	5220
128	1002	5214
129	1010	5206
130	1017	5198
131	1025	5189
132	1033	5182
133	1041	5175
134	1049	5167
135	1056	5159
136	1064	5150
137	1071	5142
138	1079	5135
139	1087	5125
140	1094	5116
141	1102	5107
142	1110	5100
143	1118	5094
144	1125	5086
145	1134	5079
146	1141	5072
147	1149	5064
148	1157	5058
149	1166	5053
150	1174	5046
151	1182	5039
152	1190	5033
153	1198	5026
154	1206	5019
155	1213	5011
156	1221	5004
157	1229	4997
158	1237	4989
159	1245	4980
160	1252	4969
161	1259	4960
162	1266	4950
163	1273	4939
164	1281	4932
165	1289	4923
166	1296	4913
167	1303	4903
168	1311	4895
169	1318	4887
170	1325	4877
171	1333	4869
172	1341	4860
173	1348	4851
174	1355	4842
175	1363	4833
176	1370	4824
177	1377	4814
178	1385	4805
179	1392	4797
180	1400	4788
181	1407	4778
182	1414	4768
183	1421	4759
184	1428	4749
185	1436	4740
186	1443	4732
187	1452	4727
188	1459	4719
189	1467	4710
190	1484	4734
191	1493	4728
192	1500	4719
193	1507	4709
194	1515	4702
195	1522	4691
196	1529	4682
197	1537	4673
198	1544	4665
199	1553	4659
200	1561	4653
201	1569	4646
202	1577	4638
203	1584	4629
204	1592	4620
205	1599	4610
206	1606	4601
207	1613	4591
208	1620	4582
209	1627	4573
210	1635	4565
211	1642	4555
212	1649	4546
213	1657	4537
214	1665	4530
215	1672	4522
216	1680	4514
217	1688	4507
218	1695	4497
219	1702	4487
220	1709	4479
221	1717	4470
222	1724	4461
223	1731	4453
224	1739	4444
225	1746	4436
226	1754	4427
227	1761	4419
228	1769	4410
229	1777	4403
230	1784	4395
231	1792	4388
232	1799	4379
233	1806	4370
234	1814	4363
235	1822	4355
236	1829	4346
237	1837	4337
238	1844	4328
239	1851	4320
240	1859	4311
241	1866	4303
242	1873	4295
243	1881	4286
244	1888	4278
245	1896	4270
246	1903	4261
247	1911	4253
248	1918	4245
249	1925	4236
250	1933	4228
251	1940	4219
252	1947	4211
253	1954	4202
254	1961	4193
255	1969	4184
256	1976	4175
257	1983	4166
258	1991	4159
259	1998	4150
260	2005	4142
261	2012	4133
262	2020	4125
263	2027	4117
264	2035	4108
265	2042	4101
266	2050	4092
267	2057	4084
268	2064	4075
269	2072	4067
270	2079	4058
271	2086	4050
272	2093	4042
273	2102	4036
274	2110	4029
275	2118	4021
276	2125	4013
277	2133	4006
278	2140	3997
279	2148	3990
280	2156	3983
281	2164	3975
282	2172	3968
283	2180	3961
284	2188	3953
285	2195	3946
286	2203	3938
287	2211	3931
288	2218	3923
289	2226	3915
290	2233	3907
291	2241	3898
292	2249	3891
293	2257	3884
294	2265	3877
295	2272	3869
296	2279	3860
297	2287	3852
298	2294	3844
299	2301	3836
300	2309	3828
301	2317	3821
302	2325	3814
303	2333	3806
304	2340	3799
305	2348	3791
306	2356	3784
307	2364	3776
308	2371	3768
309	2379	3761
310	2387	3753
311	2394	3745
312	2402	3738
313	2411	3731
314	2419	3724
315	2427	3717
316	2434	3709
317	2442	3701
318	2449	3693
319	2456	3685
320	2464	3677
321	2471	3668
322	2478	3660
323	2486	3653
324	2494	3645
325	2501	3637
326	2508	3629
327	2516	3621
328	2523	3613
329	2531	3605
330	2539	3597
331	2546	3590
332	2554	3583
333	2563	3576
334	2571	3569
335	2580	3564
336	2590	3558
337	2599	3553
338	2610	3550
339	2619	3544
340	2628	3538
341	2636	3531
342	2645	3524
343	2654	3518
344	2663	3512
345	2672	3506
346	2680	3499
347	2689	3493
348	2698	3486
349	2706	3479
350	2714	3472
351	2722	3465
352	2730	3457
353	2738	3450
354	2746	3442
355	2754	3435
356	2763	3428
357	2771	3421
358	2779	3414
359	2788	3407
360	2795	3400
361	2804	3393
362	2812	3385
363	2821	3379
364	2829	3371
365	2837	3364
366	2845	3356
367	2853	3349
368	2861	3341
369	2869	3335
370	2878	3328
371	2886	3321
372	2894	3313
373	2903	3306
374	2911	3300
375	2919	3292
376	2927	3284
377	2935	3277
378	2944	3271
379	2953	3264
380	2966	3262
381	2978	3258
382	2991	3257
383	3003	3253
384	3016	3251
385	3028	3248
386	3037	3241
387	3045	3234
388	3054	3226
389	3062	3219
390	3071	3212
391	3083	3209
392	3096	3206
393	3106	3201
394	3115	3194
395	3124	3187
396	3132	3179
397	3140	3172
398	3148	3164
399	3156	3156
400	3164	3148
401	3172	3141
402	3181	3133
403	3189	3126
404	3197	3118
405	3205	3110
406	3213	3102
407	3221	3094
408	3228	3086
409	3236	3078
410	3244	3070
411	3253	3063
412	3261	3056
413	3269	3048
414	3277	3040
415	3285	3032
416	3293	3024
417	3301	3017
418	3310	3010
419	3318	3002
420	3326	2994
421	3335	2987
422	3344	2980
423	3358	2978
424	3376	2978
425	3388	2974
426	3400	2970
427	3413	2967
428	3426	2963
429	3434	2955
430	3443	2947
431	3456	2944
432	3466	2938
433	3475	2931
434	3484	2923
435	3493	2916
436	3501	2908
437	3509	2900
438	3518	2893
439	3526	2885
440	3535	2877
441	3543	2869
442	3552	2863
443	3561	2855
444	3570	2848
445	3579	2841
446	3587	2833
447	3595	2825
448	3604	2817
449	3613	2810
450	3622	2803
451	3631	2795
452	3639	2787
453	3648	2780
454	3656	2772
455	3665	2764
456	3675	2758
457	3690	2755
458	3703	2751
459	3717	2747
460	3730	2743
461	3743	2738
462	3753	2731
463	3761	2723
464	3773	2718
465	3784	2712
466	3792	2704
467	3801	2696
468	3811	2689
469	3819	2682
470	3828	2674
471	3836	2666
472	3844	2658
473	3852	2649
474	3860	2641
475	3868	2633
476	3877	2625
477	3885	2617
478	3893	2609
479	3901	2601
480	3909	2593
481	3917	2584
482	3925	2576
483	3933	2568
484	3941	2560
485	3949	2552
486	3958	2543
487	3966	2536
488	3975	2528
489	3983	2520
490	3993	2513
491	4002	2505
492	4010	2497
493	4018	2489
494	4027	2481
495	4034	2472
496	4042	2464
497	4050	2456
498	4058	2448
499	4066	2440
500	4075	2432
501	4084	2424
502	4092	2416
503	4100	2408
504	4109	2400
505	4117	2392
506	4125	2384
507	4133	2376
508	4142	2368
509	4151	2360
510	4159	2352
511	4167	2344
512	4175	2336
513	4184	2328
514	4192	2319
515	4200	2311
516	4208	2303
517	4216	2295
518	4224	2287
519	4233	2279
520	4241	2271
521	4249	2263
522	4257	2254
523	4265	2246
524	4273	2238
525	4281	2230
526	4289	2222
527	4297	2214
528	4305	2205
529	4314	2197
530	4321	2189
531	4329	2180
532	4336	2172
533	4344	2164
534	4352	2156
535	4360	2147
536	4369	2140
537	4378	2132
538	4387	2124
539	4395	2116
540	4403	2108
541	4411	2099
542	4419	2091
543	4427	2083
544	4435	2075
545	4444	2067
546	4452	2059
547	4460	2050
548	4468	2042
549	4476	2034
550	4483	2026
551	4491	2018
552	4499	2009
553	4507	2001
554	4515	1993
555	4523	1985
556	4531	1976
557	4539	1968
558	4547	1960
559	4555	1952
560	4564	1944
561	4572	1936
562	4580	1928
563	4587	1919
564	4595	1911
565	4602	1902
566	4610	1894
567	4618	1886
568	4625	1878
569	4633	1869
570	4640	1861
571	4647	1852
572	4655	1844
573	4663	1835
574	4670	1827
575	4678	1819
576	4685	1810
577	4693	1802
578	4701	1794
579	4708	1785
580	4716	1777
581	4723	1769
582	4730	1760
583	4738	1752
584	4745	1744
585	4753	1735
586	4760	1727
587	4767	1718
588	4775	1710
589	4783	1702
590	4790	1694
591	4799	1686
592	4807	1678
593	4814	1669
594	4822	1661
595	4830	1653
596	4838	1645
597	4845	1636
598	4852	1628
599	4860	1620
600	4867	1611
601	4876	1603
602	4884	1595
603	4892	1587
604	4900	1579
605	4908	1571
606	4917	1563
607	4925	1555
608	4932	1546
609	4939	1538
610	4947	1530
611	4955	1522
612	4963	1514
613	4971	1505
614	4978	1497
615	4986	1489
616	4994	1481
617	5001	1472
618	5009	1464
619	5017	1456
620	5025	1448
621	5033	1440
622	5041	1432
623	5049	1424
624	5057	1416
625	5064	1407
626	5073	1399
627	5080	1391
628	5088	1383
629	5096	1375
630	5104	1367
631	5112	1358
632	5119	1350
633	5127	1342
634	5134	1334
635	5142	1326
636	5150	1317
637	5158	1309
638	5165	1301
639	5173	1293
640	5181	1285
641	5189	1277
642	5196	1268
643	5204	1260
644	5212	1252
645	5219	1244
646	5227	1236
647	5235	1227
648	5242	1219
649	5250	1211
650	5258	1203
651	5266	1195
652	5273	1187
653	5280	1178
654	5288	1170
655	5296	1162
656	5304	1154
657	5312	1146
658	5320	1138
659	5328	1130
660	5336	1122
661	5344	1114
662	5352	1105
663	5360	1097
664	5367	1089
665	5375	1081
666	5384	1073
667	5392	1065
668	5400	1057
669	5407	1049
670	5414	1041
671	5422	1032
672	5429	1024
673	5437	1016
674	5446	1008
675	5454	1000
676	5463	992
677	5471	984
678	5479	976
679	5487	968
680	5495	960
681	5503	952
682	5510	944
683	5519	935
684	5527	927
685	5535	919
686	5543	911
687	5551	903
688	5558	895
689	5567	887
690	5574	879
691	5582	871
692	5589	863
693	5597	854
694	5605	846
695	5612	838
696	5619	830
697	5627	822
698	5635	814
699	5643	806
700	5650	798
701	5658	789
702	5666	781
703	5674	773
704	5681	765
705	5688	757
706	5696	749
707	5704	741
708	5712	733
709	5720	725
710	5728	717
711	5737	709
712	5745	701
713	5752	692
714	5761	684
715	5769	676
716	5777	668
717	5785	660
718	5794	652
719	5802	644
720	5810	636
721	5817	628
722	5825	620
723	5833	612
724	5841	604
725	5850	596
726	5859	588
727	5867	580
728	5876	572
729	5884	564
730	5893	556
731	5902	548
732	5910	540
733	5918	532
734	5926	524
735	5934	516
736	5942	507
737	5950	499
738	5958	491
739	5965	483
740	5973	475
741	5981	467
742	5989	459
743	5997	451
744	6004	443
745	6012	435
746	6021	427
747	6028	419
748	6036	411
749	6043	402
750	6051	394
751	6059	386
752	6066	378
753	6074	370
754	6082	362
755	6090	354
756	6098	346
757	6106	338
758	6114	330
759	6122	322
760	6130	314
761	6138	306
762	6146	298
763	6157	290
764	6169	282
765	6182	274
766	6197	266
767	6214	258
768	6225	250
769	6233	242
770	6242	234
771	6250	226
772	6258	218
773	6266	210
774	6275	202
775	6287	194
776	6296	186
777	6304	178
778	6311	170
779	6319	162
780	6328	153
781	6337	145
782	6344	137
783	6352	129
784	6360	121
785	6368	113
786	6376	105
787	6384	97
788	6392	89
789	6400	81
790	6408	72
791	6417	64
792	6424	56
793	6432	48
794	6440	40
795	6448	32
796	6456	24
797	6464	16
798	6472	8
799	6480	0
