country,location,property_type,apartment_living_area,apartment_rooms,apartment_bedrooms,bedroom_ratio,apartment_bathrooms,building_total_floors,apartment_floor,building_construction_year,price_in_USD
Turkey,"Mediterranean Region, Turkey",apartment,110.0,3,1,0.6666666666666666,2,5.0,1.0,2023.0,315209.0
Turkey,"Mediterranean Region, Antalya, Turkey",apartment,60.0,2,1,0.6666666666666666,1,5.0,2.0,2023.0,173211.0
others,"Chon Buri Province, Pattaya, Thailand",apartment,40.0,2,1,0.6666666666666666,1,15.0,5.0,2020.0,99900.0
others,"Chon Buri Province, Pattaya, Thailand",apartment,36.0,3,2,0.5,1,8.0,3.0,2026.0,67000.0
Georgia,"Abkhazia, Batumi, Georgia",apartment,17.818181818181817,1,0,0.5,1,15.0,7.0,2026.0,35622.0
Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",apartment,245.0,5,1,0.6666666666666666,4,2.0,3.0,2007.0,274415.0
others,"Chon Buri Province, Pattaya, Thailand",apartment,25.0,1,0,0.5,1,8.0,2.0,2026.0,44700.0
Montenegro,"Ratisevina-Suscepan-Trebesin, Herceg Novi, Montenegro",apartment,47.09090909090909,2,1,0.6666666666666666,1,4.0,2.0,2020.0,168881.0
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",apartment,31.818181818181817,2,1,1.0,1,16.0,12.0,2020.0,254404.0
others,"Kyrenia, Girne (Kyrenia) District, Northern Cyprus",penthouse,86.0,2,0,0.5,2,1.0,1.0,2027.0,199268.0
Montenegro,"Herceg Novi, Montenegro",apartment,30.545454545454547,2,1,0.6666666666666666,1,4.0,4.0,2020.0,297706.0
others,"Vilnius County, Vilnius, Vilnius city municipality, Lithuania",house,198.54545454545453,5,3,0.6666666666666666,2,2.0,3.0,2009.0,693045.0
others,UAE,apartment,38.0,1,0,0.5,1,6.0,7.0,2024.0,97930.0
others,"Prague, Czech Republic",apartment,54.0,4,2,0.6666666666666666,1,4.0,2.0,2023.0,314990.0
others,"Tashkent, Chilanzar District, Uzbekistan",apartment,22.90909090909091,2,1,0.6666666666666666,1,4.0,1.0,2022.0,72000.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",penthouse,135.0,4,2,0.75,2,5.0,4.0,2022.0,260863.0
